faculty|title|authors|date|journal|volume|issue|pages|publisher|description
David Bermudes|Cloning of a cDNA encoding the dense granule protein GRA3 from Toxoplasma gondii|David Bermudes, Jean-François Dubremetz, Abderrahim Achbarou, Keith A Joiner|1994/12/1|Molecular and biochemical parasitology|68|2|247-257|Elsevier|GRA3 is a 30-kDa protein located inside the dense granules of Toxoplasma gondii. Following invasion and exocytosis of dense granules within the parasitophorous vacuole, GRA3 becomes associated with the parasitophorous vacuolar membrane (PVM) and extensions of the PVM which protrude into the cytoplasm. A partial cDNA encoding GRA3 was isolated from a Toxoplasma gondii expression library using polyclonal and monoclonal antibodies to the mature GRA3 protein of tachyzoites. Antibodies affinity purified using the cloned fusion protein reacted with a 30-kDa band on immunoblots and recognized dense granules, the PVM, and PVM extensions by immunofluorescence staining of infected cells. Northern blot analysis indicated the major transcript was of a slightly larger size, and the complete cDNA encoding GRA3 was subsequently obtained. Southern blot analysis suggests that GRA3 is present as a … 
David Bermudes|Attenuated Salmonella targets prodrug activating enzyme carboxypeptidase G2 to mouse melanoma and human breast and colon carcinomas for effective suicide gene therapy|Frank Friedlos, Panos Lehouritis, Lesley Ogilvie, Douglas Hedley, Lawrence Davies, David Bermudes, Ivan King, Jan Martin, Richard Marais, Caroline J Springer|2008/7/1|Clinical Cancer Research|14|13|4259-4266|American Association for Cancer Research|Purpose: We engineered the oncolytic Salmonella typhimurium–derived bacterium VNP20009 as a vector to target delivery to tumors of the prodrug-activating enzyme carboxypeptidase G2 (CPG2) and to show enhanced antitumor efficacy on administration of different prodrugs. Experimental Design: We characterized CPG2 expression in vectors by immunoblotting, immunofluorescence, and enzyme activity. We assessed prodrug activation by high-performance liquid chromatography. Target human tumor cell and bacterial vector cell cytotoxicity was measured by flow cytometry and colony-forming assays. Therapy was shown in two human tumor xenografts and one mouse allograft with postmortem analysis of bacterial and CPG2 concentration in the tumors. Results: CPG2 is expressed within the bacterial periplasm. It activates prodrugs and induces cytotoxicity in human tumor cells but not in host bacteria. Following … 
David Bermudes|Upstream elements required for expression of nucleoside triphosphate hydrolase genes of Toxoplasma gondii|Valerian Nakaar, David Bermudes, Kyong Ran Peck, Keith A Joiner|1998/5/1|Molecular and biochemical parasitology|92|2|229-239|Elsevier|Nucleoside triphosphate hydrolase is an abundant protein secreted by the obligate protozoan parasite Toxoplasma gondii. The protein has apyrase activity, degrading ATP to the di- and mono-phosphate forms. Because T. gondii is incapable of de novo synthesis of purines, it is postulated that NTPase may be used by the parasite to salvage purines from the host cell for survival and replication. To elucidate the molecular mechanisms of NTP gene expression, we isolated from the virulent RH strain of T. gondii the putative promoter region of three tandemly repeated NTP genes (NTP1, 2, 3). Using deletion constructs linked to the chloramphenicol acetyl transferase (CAT) reporter gene, we defined an active promoter within the first 220 bp. Sequence analysis of this region reveals the lack of a TATA box, but the promoter region is associated with a sequence which resembles an initiator element (Inr) in the NTP1 and … 
David Bermudes|Anaerobic respiration of Shewanella putrefaciens requires both chromosomal and plasmid-borne genes|DA Saffarini, TJ DiChristina, D Bermudes, KH Nealson|1994/6/1|FEMS microbiology letters|119|3|271-277|Blackwell Publishing Ltd|Pleiotropic respiratory mutants, incapable of growth on any electron acceptor other than oxygen, were isolated from two strains of Shewanella putrefaciens (MR-1 and sp200). All anaerobic respiratory functions were restored by complementation of the mutants with specific cloned DNA fragments. Southern hybridization experiments revealed that the fragment that complements the MR-1 mutant was localized on the megaplasmids of both strains, while the fragment that complements the sp200 mutant was chromosomal. Neither of these fragments hybridized with the anaerobic regulatory genes of S. putrefaciens (etrA) or E. coli (fnr). 
David Bermudes|Fungi in neotropical epiphyte roots|David Bermudes, David H Benzing|1989/1/1|BioSystems|23|1|65-73|Elsevier|Roots of thirty-eight Ecuadoran vascular epiphytes, representing eleven angiosperm families, were examined for the presence of symbiotic microorganisms. Most orchid roots contained fungal endophytes like those that regularly infect terrestrial counterparts. Hyphae were also common in and on nonorchid roots, but assignments of these relationships to known mycorrhizal morphologies was not possible in all cases. Evidence of vesicular-arbuscular mycorrhizae (VAM) existed in a number of subjects while in Ericaceae and Campanulaceae a fungal association similar to the demateaceous surface fungi (DSF) described for alpine and prarie plants was usually present. Some associations were characterized by multicellular propagules on root surfaces. The significance of these findings and the factors likely to influence occurrence and consequences of root-fungus mutualisms in tropical forest canopies are discussed … 
David Bermudes|Morphology as a Basis for Taxonomy of Large Spirochetes Symbiotic in Wood-Eating Cockroaches and Termites: Pillotina gen. nov., nom. rev.; Pillotina calotermitidis sp. nov …|David Bermudes, David Chase, Lynn Margulis|1988/7/1|International Journal of Systematic and Evolutionary Microbiology|38|3|291-302|Microbiology Society|The purposes of this paper are (i) to present a framework for the morphometric analysis of large uncultivable spirochetes that are symbiotic in wood-eating cockroaches and termites; (ii) to revive, in accordance with the rules of the International Code of Nomenclature of Bacteria, the names of three genera (Pillotina, Diplocalyx, and Hollandina) and three species (Pillotina calotermitidis, Diplocalyx calotermitidis, and Hollandina pterotermitidis) for the same organisms to which the names were originally applied, because these names were not included on the 1980 Approved Lists of Bacterial Names; and (iii) to formally propose the name Clevelandina reticulitermitidis for a new genus and species of spirochetes from the termite Reticulitermes tibialis. None of these genera and species has been cultivated either axenically or in mixed culture; hence, all are based on type-descriptive material. 
David Bermudes|Effects of Culture Conditions on Mycelial Growth and Luminescence in Panellus Stypticus|David Bermudes, Valerie L Gerlach, Kenneth H Nealson|1990/5/1|Mycologia|82|3|295-305|Taylor & Francis|A pure culture of Panellus stypticus was isolated from a mature basidiocarp and studied for its growth and luminescence abilities under various environmental and nutritional conditions. The culture was non-luminous growing submerged in defined liquid media with or without agitation. After a two- to three-day lag period on solid substrata, luminescence increased exponentially with a doubling time of 4 hours while the increase in colony radial growth was linear. On solid substrata, growth and total light emission were strongly correlated under most conditions studied. Optimal conditions included darkness; 28 C; pH 3.8; glucose, maltose, trehalose, cellobiose or pectin as carbon source; and ammonia or asparagine as nitrogen source. Growth and luminescence were inhibited by ambient fluorescent light. Dark-grown colonies were brightest in the center while light-grown colonies were brightest at the periphery … 
David Bermudes|pmrA (Con) confers pmrHFIJKL-dependent EGTA and polymyxin resistance on msbB Salmonella by decorating lipid A with phosphoethanolamine|Sean R Murray, Robert K Ernst, David Bermudes, Samuel I Miller, K Brooks Low|2007/7/15|Journal of bacteriology|189|14|5161-5169|American Society for Microbiology Journals|Mutations in pmrA were recombined into Salmonella strain ATCC 14028 msbB to determine if pmrA-regulated modifications of lipopolysaccharide could suppress msbB growth defects. A mutation that functions to constitutively activate pmrA [pmrA(Con)] suppresses msbB growth defects on EGTA-containing media. Lipid A structural analysis showed that Salmonella msbB pmrA(Con) strains, compared to Salmonella msbB strains, have increased amounts of palmitate and phosphoethanolamine but no aminoarabinose addition, suggesting that aminoarabinose is not incorporated into msbB lipid A. Surprisingly, loss-of-function mutations in the aminoarabinose biosynthetic genes restored EGTA and polymyxin sensitivity to Salmonella msbB pmrA(Con) strains. These blocks in aminoarabinose biosynthesis also prevented lipid A phosphoethanolamine incorporation and reduced the levels of palmitate addition … 
David Bermudes|Tumor-Targeted Salmonella typhimurium Overexpressing Cytosine Deaminase: A Novel, Tumor-Selective Therapy|Ivan King, Martina Itterson, David Bermudes|2009||||649-659|Humana Press|The ideal anticancer regimen is one that is specific for cancer cells with limited toxicity to normal tissues. Genetically modified, nonpathogenic Salmonella offer a potential way to induce direct tumoricidal activity or to deliver tumoricidal agents to tumors. An attenuated strain of Salmonella typhimurium, called VNP20009, and its derivative TAPET-CD (which expresses Escherichia coli cytosine deaminase) are highly selective for tumor tissue and can deliver therapeutic proteins preferentially to tumors in preclinical models. Both VNP20009 and TAPET-CD have been investigated successfully in Phase 1 clinical trials in cancer patients. 
David Bermudes|Tumour-selective Salmonella-based cancer therapy|David Bermudes, K Brooks Low, John Pawelek, Ming Feng, Michael Belcourt, Li-mou Zheng, Ivan King|2001/7/1|Biotechnology and Genetic Engineering Reviews|18|1|219-233|Taylor & Francis Group|Cancer therapies fail for several primary reasons; lack ofdrug effect on the cancerous tissue~ lack of selectivity for the cancerous tissue, andlor inadequate delivery to the target tissue. Drug effect and selectivity can be improved by increased understanding of molecular and cellular differences between cancer and normal tissues, thus enabling the design of drugs that potently affect cancer-specific molecular targets associated with malignant behaviour. Another approach is to improve the selective delivery of anti-cancer agents to tumours. One approach is to use carriers that bind to cancer... specific targets, such as antibodies (Hall, 1995). However, most targeting approaches, even if selective, tend not to deliver sufficiently high concentrations of the agent to the tumour to induce significant therapeutic effects. Recent findings suggest that the pathogenic bacteriumSallnonella, when genetically modified, can be used to … 
David Bermudes|Low-Level Bioluminescence Detected in Mycena Haematopus Basidiocarps|David Bermudes, Ronald H Petersen, Kenneth H Nealson|1992/9/1|Mycologia|84|5|799-802|Taylor & Francis|Bioluminescence has been reported to occur in approximately 40 species of fungi (see Wassink, 1948, 1978, 1979), nearly two thirds of which are members of Mycena. Luminescence, varying among species, occurs in either the basidiocarp, the mycelium, the spores, or in combinations thereof (see O'Kane et al., 1990). Photometers have long been used to study bioluminescence (see Reynolds, 1972); however, perception ofluminescence in fungi has been largely by eye and/or documented photographically. Use of photometric measurements has generally been restricted to physiological studies of common species and examinations of the possible occurrence of bioluminescence in species suggested to be luminous (eg, Bermudes et al., 1990). Knowledge of the distribution of fungal luminescence, therefore, has been generally restricted by the detection limits of the human eye. Bioluminescence in fungi ranges … 
David Bermudes|Prokaryotic origin of undulipodia: application of the panda principle to the centriole enigma|David Bermudes, Lynn Margulis, George Tzertzinis|1987/7/1|Annals of the New York Academy of Sciences|503|1|187-197|Blackwell Publishing Ltd|Darwin answers that we must look for imperfections and oddities, because any perfection in organic design or ecology obliterates the paths of history and might have been created as we find it. This principle of imperfections became Darwin’s most common guide.... I like to call it the “panda principle.”’ 
David Bermudes|Symbiont acquisition as neoseme: origin of species and higher taxa.|D Bermudes, L Margulis|1987|Symbiosis (Philadelphia, Pa.)|4||185-198||We examine the hypothesis that, in the origin of species and higher taxa of eukaryotes, symbiont acquisition followed by partner integration has been equivalent to neoseme appearance leading to speciation. The formation of stable symbiotic associations involves partner-surface recognition, behavioral and metabolic interaction, and, in some cases, gene product (RNA, protein) and genic (RNA, DNA) integration. This analysis is applied here to examples of neosemes that define specific taxa and to neosemes in plants, fungi, and animals that involve the appearance of new types of tissue. If this hypothesis is correct--if the origin of major genetic variation leading to speciation and even higher taxa may occur through symbiont acquisition and integration--then the analysis of" origins of species and higher taxa" becomes analogous to the study of microbial community ecology. 
David Bermudes|Panellus Stypticus: Geographically Separated Interbreeding Populations|Ronald H Petersen, David Bermudes|1992/3/1|Mycologia|84|2|209-213|Taylor & Francis|Utilizing matings of single-spore isolates of collections of Panellus stypticus from far eastern USSR, New Zealand, Japan and eastern North America, the geographic range of interbreeding populations was ascertained to include all these locations. Culture bioluminescence and basidiome taste differed across this range, apparently independent of sexual compatibility. 
David Bermudes|Nitrogen fixation in association with Ecuadorean bromeliads|David Bermudes, David H Benzing|1991/11|Journal of tropical ecology|7|4|531-536|Cambridge University Press|//static.cambridge.org/content/id/urn%3Acambridge.org%3Aid%3Aarticle%3AS0266467400005927/resource/name/firstPage-S0266467400005927a.jpg 
David Bermudes|Comparative Evaluation of the Acute Toxic Effects in Monkeys, Pigs and Mice of a Genetically Engineered Salmonella Strain (VNP20009) Being Developed as an …|King C Lee, Li-Mou Zheng, Xiang Luo, Caroline Clairmont, Jessica Fischer, Dennis Margitich, John Turnier, Bijan Almassian, David Bermudes, Ivan King|2000/1|International journal of toxicology|19|1|19-25|SAGE Publications|The objective of these studies was to perform a comparative evaluation of the acute toxicity of VNP20009, a genetically engineered Salmonella strain, in monkeys, pigs, and mice. It is hypothesized that mice would be more susceptible than other animal species to the toxic effects of VNP20009, because mice are the most sensitive natural host for the parental wild-type Salmonella typhimurium strain. These studies also compared the virulence of VNP20009 and the parental Salmonella in mice. In Cynomolgus monkeys and Yorkshire pigs (n = 2/dose), various doses (expressed as colony forming units [cfu] per animal) of VNP20009, or vehicle, were administered as a single IV injection (∼ 1 ml/min). The body weight, body temperature, clinical signs, clinical pathology (serum chemistry and hematology), and ophthalmic examinations (only in monkeys) were evaluated at various times. Necropsy was performed on day … 
David Bermudes|Intercontinental compatibility in Panellus stypticus with a note on bioluminescence|Ronald H Petersen, David Bermudes|1992|Persoonia-Molecular Phylogeny and Evolution of Fungi|14|4|457-463||Single-spore and polyspore cultures of Panellus stypticus from Japan were non-luminescent, while single-spore isolates from Illinois comprised both luminescent and nonluminescent strains. Luminous single-spore isolates exhibited varying levels of luminescence, and in some single-spore isolates, a delay in the onset of luminescence was observed. Japanese and eastern North American collections were universally sexually compatible, and thus belong to the same biological species. Nuclear migration beyond the contact zone between crossed single-spore strains was only occasionally observed, and was consistently accompanied by hyphal lysis of the receptor strain. Production of nuclei fit for nuclear migration appeared strain-specific, and not related to mating type genes. 
David Bermudes|Optimizing liposomal cisplatin efficacy through membrane composition manipulations|Natalia Zisman, Nancy Dos Santos, Sharon Johnstone, Alan Tsang, David Bermudes, Lawrence Mayer, Paul Tardi|2011/1/24|Chemotherapy research and practice|2011|||Hindawi Publishing Corporation|The first liposomal formulation of cisplatin to be evaluated clinically was SPI-077. Although the formulation demonstrated enhanced cisplatin tumor accumulation in preclinical models it did not enhance clinical efficacy, possibly due to limited cisplatin release from the formulation localized within the tumor. We have examined a series of liposomal formulations to address the in vivo relationship between cisplatin release rate and formulation efficacy in the P388 murine leukemia model. The base formulation of phosphatidylcholine: phosphatidylglycerol: cholesterol was altered in the C18 and C16 phospholipid content to influence membrane fluidity and thereby impacting drug circulation lifetime and drug retention. Phase transition temperatures (Tm) ranged from 42–55°C. The high Tm formulations demonstrated enhanced drug retention properties accompanied by low antitumor activity while the lowest Tm formulations released the drug too rapidly in the plasma, limiting drug delivery to the tumor which also resulted in low antitumor activity. A formulation composed of DSPC : DPPC : DSPG : Chol; (35 : 35 : 20 : 10) with an intermediate drug release rate and a cisplatin plasma half-life of 8.3 hours showed the greatest antitumor activity. This manuscript highlights the critical role that drug release rates play in the design of an optimized drug delivery vehicle. 
David Bermudes|Tubulinlike protein from Spirochaeta bajacaliforniensis|D Bermudes, SP Fracek, RA Laursen, L Margulis, R Obar, G Tzertzinis|1987/7/1|Annals of the New York Academy of Sciences|503|1|515-527|Blackwell Publishing Ltd|Tubulin proteins are the fundamental subunits of all polymeric microtubule-based eukaryotic structures. Long, hollow structures each comgosed of 13 protofilaments as revealed by electron microscopy, microtubules (240 A in diameter) are nearly ubiquitous in eukaryotes. These proteins have been the subject of intense biochemical and biophysical interest since the early 1970~’~ and are of evolutionary interest as well (eg, References 27 and 29). If tubulin-based structures (ie, neurotubules, mitotic spindle tubules, centrioles, kinetosomes, axonemes, etc.) evolved from spirochetes by way of motility symbioses, tubulin homologies with spirochete proteins should be detectable (see Reference 4). Tubulin proteins are widely thought to be limited to eukaryotes (eg, Reference 36). Yet both azotobacters’ and have shown immunological crossreactivity with antitubulin antibodies. In neither of these studies was tubulin … 
David Bermudes|Structure and function of the parasitophorous vacuole membrane surrounding Toxoplasma gondii|Keith A Joiner, CJM Beckers, D Bermudes, PN Ossorio, JC Schwab, JF Dubremetz|1994/9/1|Annals of the New York Academy of Sciences|730|1|1-6|Wiley/Blackwell (10.1111)|Toxoplusma gondii is growing in popularity as a model for studying intracellular parasitism.'The parasite has also gained more attention recently as the most common cause of focal central nervous system infections in patients with the acquired immunodeficiency syndrome,* and it continues to cause more than 3,000 cases per year of congenital birth defects in the United States alone. T. gondii infects nearly all animals and most birds and is one of the most widely distributed of all intracellular parasites. In vitro, tachyzoites of T. gondii can invade and replicate within essentially all nucleated cells, an unusual feat for any intracellular organism. The intracellular tachyzoites reside within a vacuole that is incapable of acidifying or fusing with any membrane-bound organelle within the host cell endocytic system= and as such is effectively hidden from the host, yet the parasite replicates rapidly. The fusion incompetence of … 
David Bermudes|Tumor-Targeted Salmonella: Strain Development and Expression of the HSV-tK Effector Gene|David Bermudes, Brooks Low, John M Pawelek|2000||||419-436|Humana Press|Gene therapy approaches to cancer treatment have been limited by the ability of the delivery vectors to achieve specific high-level expression within tumor cells or the tumor environment following systemic administration. Numerous physical barriers exist in the delivery of therapeutic agents (including drugs, viruses, and liposomes) to solid tumors that can compromise the effectiveness (1), thus stimulating the search for alternative methods of delivery. Whereas it has been known for some time that spores of anaerobic Clostridium can germinate within the necrotic spaces of human tumors, they are limited to larger hypoxic tumors and are inaccessible to smaller metastases (2,3). The ability of motile, facultatively anaerobic Salmonella to target tumors following systemic administration, preferentially amplify within them, and express effector genes such as the herpes simplex virus thymidine kinase (HSV-TK … 
David Bermudes|msbB deletion confers acute sensitivity to CO 2 in Salmonella enterica serovar Typhimurium that can be suppressed by a loss-of-function mutation in zwf|Verena Karsten, Sean R Murray, Jeremy Pike, Kimberly Troy, Martina Ittensohn, Manvel Kondradzhyan, K Brooks Low, David Bermudes|2009/12|BMC microbiology|9|1|170|BioMed Central|Pathogens tolerate stress conditions that include low pH, oxidative stress, high salt and high temperature in order to survive inside and outside their hosts. Lipopolysaccharide (LPS), which forms the outer-leaflet of the outer membrane in Gram-negative bacteria, acts as a permeability barrier. The lipid A moiety of LPS anchors it to the outer membrane bilayer. The MsbB enzyme myristoylates the lipid A precursor and loss of this enzyme, in Salmonella, is correlated with reduced virulence and severe growth defects that can both be compensated with extragenic suppressor mutations. We report here that msbB (or msbB somA) Salmonella are highly sensitive to physiological CO2 (5%), resulting in a 3-log reduction in plating efficiency. Under these conditions, msbB Salmonella form long filaments, bulge and lyse. These bacteria are also sensitive to acidic pH and high osmolarity. Although CO2 acidifies LB broth media, buffering LB to pH 7.5 did not restore growth of msbB mutants in CO2, indicating that the CO2-induced growth defects are not due to the effect of CO2 on the pH of the media. A transposon insertion in the glucose metabolism gene zwf compensates for the CO2 sensitivity of msbB Salmonella. The msbB zwf mutants grow on agar, or in broth, in the presence of 5% CO2. In addition, msbB zwf strains show improved growth in low pH or high osmolarity media compared to the single msbB mutant. These results demonstrate that msbB confers acute sensitivity to CO2, acidic pH, and high osmolarity. Disruption of zwf in msbB mutants restores growth in 5% CO2 and results in improved growth in acidic media or in media with high osmolarity … 
David Bermudes|Hot spot for a large deletion in the 18-to 19-centisome region confers a multiple phenotype in Salmonella enterica serovar Typhimurium strain ATCC 14028|Sean R Murray, Karim Suwwan De Felipe, Pamela L Obuchowski, Jeremy Pike, David Bermudes, K Brooks Low|2004/12/15|Journal of bacteriology|186|24|8516-8523|American Society for Microbiology Journals|Loss of the Salmonella MsbB enzyme, which catalyzes the incorporation of myristate destined for lipopolysaccharide in the outer membrane, results in a strong phenotype of sensitivity to salt and chelators such as EGTA and greatly diminished endotoxic activity. MsbB− salmonellae mutate extragenically to EGTA-tolerant derivatives at a frequency of 10−4 per division. One of these derivatives arose from inactivation of somA, which suppresses sensitivity to salt and EGTA. Here we show that a second mode of MsbB− suppression is a RecA-dependent deletion between two IS200 insertion elements present in Salmonella enterica serovar Typhimurium strain ATCC 14028 but not in two other wild-type strains, LT2 and SL1344, which lack one of the IS200 elements. This deletion occurs spontaneously in wild-type and MsbB− strain 14028 salmonellae and accounts for about one-third of all of the spontaneous … 
David Bermudes|Epiphytic bromeliads as air quality monitors in south Florida|David H Benzing, David Bermudes|1991/1/1|Selbyana|||46-53|The Marie Selby Botanical Gardens|Three species of Tillandsia (Bromeliaceae) were surveyed at nine sites in south Florida to determine possible effects of air pollution. All three populations were healthy and reproductive. Most of the chemical elements examined in sampled foliage occurred at concentrations similar to those previously reported for the genus. However, one notable geographic trend was revealed: concentrations of S tended to be highest in mainland plants closest to the urbanized east coast. Continued use of these bromeliads and other Florida vascular epiphytes for air quality surveillance is recommended. 
David Bermudes|Symbiosis inferred from the fossil record|David Bermudes, Richard C Back|1991|Margulis and Fester|||72-91||Fossil assemblages are notorious for their many biases. Notably, hard parts are more likely to be preserved than soft ones. The fossil record is largely a history of these hard parts from which past biology must be inferred. There is little direct evidence of symbiosis in the fossil record. Most microbial symbionts do not preserve well, and thus a host and a symbiont are seldom preserved together. Notable exceptions are the fungus-root associations found in Rhynie cherts dating to 400 million years ago (Kidston and Lang 1921; Boullard and Lemoigne 1971). These associations are sometimes interpreted as mutualistic mycorrhizae (Pirozynski and Malloch 1975; Malloch et al. 1980; Pirozynski and Dalpe 1989), although problems remain with interpretations of biological relationships based purely on morphology. Co-preservation insufficiently resolves the question of the influence of a biological relationship, and thus additional information must be sought. Actualistic assumptions have been applied to ecology (Mayr 1963) and genetics (Dobzhansky 1951) for the interpretation of the fossil record and, we believe, should be further extended to incorporate symbiosis. The field of symbiosis has long been a contributor to the understanding of biology (De Bary 1879; Mereschkovskii 1910; Wallin 1927), yet symbiosis remains largely peripheral to contemporary evolutionary theory. Several papers have already discussed the influence of symbiosis on evolutionary history (Taylor 1979, 1983; Cowen 1983; Margulis and Bermudes 1985; Bermudes and Margulis 1987). The purpose of this paper is to identify different ways in which symbiosis may have influenced … 
David Bermudes|Tumour therapy using Salmonella|I King, X Luo, M Feng, M Ittensohn, Z Li, M Belcourt, S Lin, T Le, J Pike, K Troy, M Sznol, C Clairmont, D Bermudes, LM Zheng|2000/7/1||5|2|211-219|Taylor & Francis|The development of novel therapies that are selective for cancer cells, with limited toxicity to normal tissues, has been a challenge for oncology researchers. Genetically modified Salmonella typhimurium, which is capable of multiplying selectively in tumours and inhibiting their growth, represents a new approach for cancer treatment. Because of its selectivity for tumour tissues, S. typhimurium would also be an ideal vector for delivering therapeutic proteins to tumours. VNP20009, an attenuated strain of S. typhimurium with deletions in msbB and purI genes, possesses desirable attributes, such as low toxicity, tumour-selective multiplication and an intrinsic tumouricidal activity, making it particularly promising. VNP20009 accumulates preferentially in tumours of mice bearing B16F10 melanoma and M019 lung carcinoma. This preferential accumulation also occurs in animals implanted sc. with human tumour xenografts … 
David Bermudes|VNP20009, a genetically modified Salmonella typhimurium: anti-tumor efficacy, toxicology, and biodistribution in preclinical models.|C Clairmont, D Bermudes, KB Low, J Pawelek, J Pike, M Ittensohn, Z Li, X Lou, D Margitich, K Lee, LM Zheng, I King|1999/11/1||5||3830S-3830S|AMER ASSOC CANCER RESEARCH|
David Bermudes|Molecular characterization of the dense granule protein GRA3 from Toxoplasma gondii|D Bermudes, JF Dubremetz, KA Joiner|1994|Mol. Biochem. Parasitol|68||247-257||
David Bermudes|Accumulation of single-stranded DNA in Escherichia coli carrying the colicin plasmid pColE3-CA38|Magali Morales, Hedieh Attai, Kimberly Troy, David Bermudes|2015/1/1|Plasmid|77||7-16|Academic Press|We sequenced the complete 7118 bp circular plasmid pColE3-CA38 (pColE3) from Escherichia coli, located the previously identified colicin components together with two new ORFs that have homology to mobilization and transfer proteins, and found that pColE3 is highly similar to a plasmid present in enterohemorrhagic E. coli O111. We also found that unusual aspects of the plasmid include the inability to be completely digested with restriction endonucleases and asymmetric Phred DNA sequencing quality scores, with significantly lower scores in the forward direction relative to the colicin and immunity proteins consistent with plus (+) strand DNA. Comparing the A260 with picogreen double-stranded DNA (dsDNA) fluorescence and oligreen single-stranded DNA (ssDNA) fluorescence as well as metachromatic staining by acridine orange, we found that the undigested pColE3 DNA stains preferentially as ssDNA … 
David Bermudes|The role of parasites in generating evolutionary novelty|D Bermudes, Keith A Joiner|1993/12/1||9|12|458-463|Elsevier Current Trends|In this review, David Bermudes and Keith joiner discuss the interrelationship between parasitism and mutualism and examine the parallel mechanisms used by parasites and mutualists to access and persist within the intracellular environment. By drawing analogies with mutualistic associations, they suggest mechanisms by which some parasites may ultimately benefit their hosts. They further speculate that some hosts may even become dependent upon their parasites. 
David Bermudes|In vitro antagonism of bioluminescent fungi by Trichoderma harzianum|David Bermudes, Martin E Boraas, Kenneth H Nealson|1991/7/1|Mycopathologia|115|1|19-29|Kluwer Academic Publishers|Two species of bioluminescent fungi, Panellus stypticus and Omphalotus olearius were placed in contact with three different strains of interfungal pathogenic Trichoderma harzianum. Subsequent light emission by the luminous fungi and advance of the interfungal pathogens were compared. Relative differences among the pathogens were reflected in their rate of mycelial advance, the total area over which they produced spores upon the host fungi, and decreases in host bioluminescence. After ten days differences in the total surface areas of spore production varied from 1 to 53 per cent. Differences in the reduction of bioluminescence of the same material ranged over 2 orders of magnitude. Final reduction in luminescence ranged over 6 orders of magnitude. A marked reduction in bioluminescence was observed to precede the advance of spore production. The greatest reduction in luminescence was … 
David Bermudes|Development of highly efficacious hydrophobic paclitaxel prodrugs delivered in nanoparticles for fixed-ratio drug combination applications|Steven Ansell, Sharon Johnstone, Paul Tardi, Lily Lo, Sherwin Xie, Yu Shu, Troy Harasym, Natashia Harasym, Laura Williams, David Bermudes, Barry Liboiron, Walid Saad, Robert Prud'homme, Lawrence Mayer|2008/5/1||68|9 Supplement|5734-5734|American Association for Cancer Research|5734 In vitro evidence has revealed that many drug combinations can act either synergistically or antagonistically, depending on the exposed drug ratio. Since the pharmacokinetic behavior of the individual drugs cannot be controlled when administered in a conventional aqueous based cocktail, drug delivery systems must be utilized to maintain optimal drug ratios. We report here the development of nanoparticle delivery systems for hydrophobic drugs where plasma drug levels can be controlled in a manner that can be readily adapted to deliver drug combinations. Paclitaxel is a hydrophobic chemotherapeutic drug that is typically used in combination with other agents to treat breast, lung and ovarian cancer. Poor drug solubility necessitates its formulation into a mixture of Cremophor and ethanol. Toxicity associated with the use of Cremophor has resulted in formulation efforts using polymer micelles or … 
David Bermudes|Construction of VNP20009|Kenneth Brooks Low, Martina Ittensohn, Xiang Luo, Li-Mou Zheng, Ivan King, John M Pawelek, David Bermudes|2004||||47-59|Humana Press|The engineering of tumor-targeting Salmonella strains bearing a high degree of both attenuation and tumor inhibition is a recently developed approach to vector-based treatment of cancer (1,2). Tumor-targeted Salmonella have many desirable features for a tumor-selective delivery vehicle: 
David Bermudes|Tandemly repeated genes encoded nucleoside triphosphate hydrolase isoforms secreted into parasitophorous vacuole of Toxoplasma gondii|D Bermudes|1994|J Biol Chem|269||2952-2960||CiNii 国立情報学研究所 学術情報ナビゲータ[サイニィ]. メニュー 検索 … 
David Bermudes|Tumour-targeting bacteria engineered to fight cancer|Shibin Zhou, Claudia Gravekamp, David Bermudes, Ke Liu|2018/11/7||||1|Nature Publishing Group|Recent advances in targeted therapy and immunotherapy have once again raised the hope that a cure might be within reach for many cancer types. Yet, most late-stage cancers are either insensitive to the therapies to begin with or develop resistance later. Therapy with live tumour-targeting bacteria provides a unique option to meet these challenges. Compared with most other therapeutics, the effectiveness of tumour-targeting bacteria is not directly affected by the ‘genetic makeup’of a tumour. Bacteria initiate their direct antitumour effects from deep within the tumour, followed by innate and adaptive antitumour immune responses. As microscopic ‘robotic factories’, bacterial vectors can be reprogrammed following simple genetic rules or sophisticated synthetic bioengineering principles to produce and deliver anticancer agents on the basis of clinical needs. Therapeutic approaches using live tumour-targeting … 
David Bermudes|EGFR‐targeted Chimeras of Pseudomonas ToxA released into the extracellular milieu by attenuated Salmonella selectively kill tumor cells|David Quintero, Jamie Carrafa, Lena Vincent, David Bermudes|2016/12|Biotechnology and bioengineering|113|12|2698-2711||Tumor‐targeted Salmonella VNP20009 preferentially replicate within tumor tissue and partially suppress tumor growth in murine tumor models. These Salmonella have the ability to locally induce apoptosis when they are in direct contact with cancer cells but they lack significant bystander killing, which may correlate with their overall lack of antitumor activity in human clinical studies. In order to compensate for this deficiency without enhancing overall toxicity, we engineered the bacteria to express epidermal growth factor receptor (EGFR)‐targeted cytotoxic proteins that are released into the extracellular milieu. In this study, we demonstrate the ability of the Salmonella strain VNP20009 to produce three different forms of the Pseudomonas exotoxin A (ToxA) chimeric with a tumor growth factor alpha (TGFα) which results in its producing culture supernatants that are cytotoxic and induce apoptosis in EGFR positive … 
