faculty|college|department|bio|personal|academic|research|orcid|scopus
Tim Karels| Science and Math| Department of Biology||||Conservation Biology Ecology and Evolution Ecology Wildlife Ecology Animal Ecology Mammals Zoology Population Ecology Evolutionary Biology Structural Equation Modeling ||
Jonathan Kelber| Science and Math| Department of Biology||||PCR Cell Culture Western Blot Analysis Gene Expression Cancer Biology Flow Cytometry Molecular Cell Biology Cell Signaling Cell Proliferation Cancer Cell Biology Cancer Biomarkers Cancer Signal Transduction Tumors Metastasis Cancer Cells Tumor Biology Cell Migration ||
Rachel Mackelprang| Science and Math| Department of Biology||||Sequencing Genomics Genetics Bioinformatics and Computational Biology Next Generation Sequencing Microbial Ecology NGS Data Analysis Ecosystems ||
Cindy Malone| Science and Math| Department of Biology||||||
Rheem Medh| Science and Math| Department of Biology||||Cell Culture DNA Western Blot Analysis Gene Expression Cancer Biology Molecular Cell Biology Cell Signaling Apoptosis Cancer Biomarkers Signal Transduction Cancer Cell Signaling RNA Stability ||
Kerry Nickols| Science and Math| Department of Biology||||Conservation Biology Conservation Hydrodynamics Applied Ecology Ecological Modeling Population Dynamics Spatial Ecology Population Biology Field Experience ||
Jeanne Robertson| Science and Math| Department of Biology||||Ecology and Evolution Evolution Population Genetics Molecular Ecology Natural History Herpetology Conservation Genetics Phylogeography Speciation Microsatellite Genotyping Reptiles Amphibians Adaptive Evolution Landscape Genetics Coloration ||
Crystal Rogers| Science and Math| Department of Biology||||Cell Culture Immunohistochemistry Molecular Biology Molecular Cloning Cancer Research Cellular Biology Real-Time PCR Developmental Biology Fluorescence Microscopy Xenopus laevis Neural Crest ||
Crystal Rogers| Science and Math| Department of Biology||||Cell Culture Immunohistochemistry Molecular Biology Molecular Cloning Cancer Research Cellular Biology Real-Time PCR Developmental Biology Fluorescence Microscopy ||
Cristian Ruiz Rueda| Science and Math| Department of Biology||||||
Paula Schiffman| Science and Math| Department of Biology||||Biodiversity Conservation Biology Conservation Ecology and Evolution Species Diversity Wildlife Conservation Invasive Species Biodiversity Monitoring Community Ecology ||
Mark Steele| Science and Math| Department of Biology||||Population Ecology Fish Ecology Population Dynamics Ichthyology ||
Nyssa Silbiger| Science and Math| Department of Biology||||Conservation Biology Conservation Ecosystem Ecology Climate Change Marine Ecology Community Ecology Marine Environment Biogeochemistry Coastal Ecology ||
Mary-Pat Stein| Science and Math| Department of Biology||||Molecular Biology Cell Biology Inflammation Immunology Protein Binding Phagocytosis Endosomes Leukocytes Legionella pneumophila ||
Casey terHorst| Science and Math| Department of Biology||||Ecology and Evolution Ecology Evolution Marine Ecology Invasive Species Community Ecology Evolutionary Biology Marine Biology Population Dynamics Communities ||
Cheryl Van Buskirk| Science and Math| Department of Biology||||||
Virginia Vandergon| Science and Math| Department of Biology||||Sequencing Science Teaching Molecular Biological Techniques Science and Technology for Teachers Bioinformatics Analysis ||
Maurie Beck| Science and Math| Department of Biology||||Conservation Biology Ecology and Evolution Ecology Biodiversity & Conservation Evolutionary Biology Animal Behavior Seeds ||
Desiree Goetting| Science and Math| Department of Biology||||||
Michael Franklin| Science and Math| Department of Biology||||Marine Ecology ||
Carson Keller| Science and Math| Department of Biology||||||
Chris Chabot| Science and Math| Department of Biology||||PCR DNA Electrophoresis DNA Sequencing Sequencing Genomics Evolution Next Generation Sequencing DNA Sequence Analysis Genetic Analysis Genotyping ||
Mary Corcoran| Science and Math| Department of Biology||||Plant Biology Plant Biotechnology Plant Genetics ||
Jim Dole| Science and Math| Department of Biology||||Animal Ecology Frogs Feeding Ecology Feeding Behavior Animal Navigation ||
Joseph Galasso| College of Humanities| Department of Linguistics/TESL||||Language Acquisition Language Development Grammar ||
Anna Dina L. Joaquin| College of Humanities| Department of Linguistics/TESL||||Language Teaching Applied Linguistics Language Acquisition Second Language Acquisition Language Learning SLA Conversation Analysis TESOL ||
Stephanie Hyeri Kim| College of Humanities| Department of Linguistics/TESL||||Language Language Teaching Applied Linguistics Language Acquisition Cognitive Linguistics Discourse Studies Conversation Analysis Discourse Articles Pragmatics Grammar ||
Sharon Klein| College of Humanities| Department of Linguistics/TESL||||||
Terrie Mathis| College of Humanities| Department of Linguistics/TESL||||Discourse Studies Conversation Analysis Discourse Dialogue ||
David J. Medeiros| College of Humanities| Department of Linguistics/TESL||||Syntax ||
Laura Ruth-Hirrel| College of Humanities| Department of Linguistics/TESL||||Cognitive Linguistics Discourse Analysis Gestures Language Documentation ||
Ana Sanchez Munoz| College of Humanities| Department of Linguistics/TESL||||Language Social and Cultural Anthropology Multiculturalism Language Acquisition Second Language Acquisition Gender Studies Language Learning Ethnicity Qualitative-ethnography ||
Hyung-Jo Yoon| College of Humanities| Department of Linguistics/TESL||||Applied Linguistics Second Language Acquisition Teaching English as a Foreign Language Writing Corpus Linguistics ||
Abel Franco| College of Humanities| Department of Philosophy||||||
Robert Gressis| College of Humanities| Department of Philosophy||||Philosophy of Religion Immanuel Kant ||
Adam Swenson| College of Humanities| Department of Philosophy||||PHP Python Pain Medicine Pain MySQL Object Oriented Javascript ||
Weimin Sun| College of Humanities| Department of Philosophy||||Embodied Cognition ||
Gregory Velazco y Trianosky| College of Humanities| Department of Philosophy||||Political Philosophy ||
Julie Yoo| College of Humanities| Department of Philosophy||||||
Mitchell Herschbach| College of Humanities| Department of Philosophy||||Neuroscience Phenomenology Cognitive Science Philosophy of Psychology Philosophy Of Science Philosophy of Mind Neurophilosophy Social Cognition Embodied Cognitive Science ||
Leemon McHenry| College of Humanities| Department of Philosophy||||Modern Philosophy Ontology History and Philosophy of Science ||
Markar Melkonian| College of Humanities| Department of Philosophy||||Political Philosophy ||
Ronald McIntyre| College of Humanities| Department of Philosophy||||||
Biel Michael E| Health & Human Development| Department of Communication Disorders and Sciences||||||
Jin Su-Hyun| Health & Human Development| Department of Communication Disorders and Sciences||||Audiology Hearing Disorders Ear Speech Intelligibility Deafness Hearing Loss Speech Recognition Audiometry Speech Signal Processing Auditory Perception Auditory Processing ||
Yu Vickie| Health & Human Development| Department of Communication Disorders and Sciences||||||
Trost-Cardamone Judith E| Health & Human Development| Department of Communication Disorders and Sciences||||Phonetics Facial Anomalies Craniofacial Abnormalities Cleft Palate cleft palate speech ||
Doris Abrishami| Health & Human Development| Department of Health Sciences||||||
Grishma Bhavsar| Health & Human Development| Department of Health Sciences||||||
Salvador Esparza| Health & Human Development| Department of Health Sciences||||Health Care Administration ||
Louis Rubino| Health & Human Development| Department of Health Sciences||||||
Carmen Saunders-Russell| Health & Human Development| Department of Health Sciences||||||
Mirna Sawyer| Health & Human Development| Department of Health Sciences||||Mixed Methods ||
Suzanne Spear| Health & Human Development| Department of Health Sciences||||Evidence Based Medicine Public Health Education Preventive Medicine Health Education and Promotion Health Outcomes Health Disparities Health Care Delivery ||
Claudia Toledo-Corral| Health & Human Development| Department of Health Sciences||||Insulin Resistance Health Disparities Metabolic Syndrome Obesity Chronic Stress HPA Axis Prediabetes in Youth ||
Frankline "Frankie" Augustin| Health & Human Development| Department of Health Sciences||||Workforce Management Health Workforce Healthcare Disparities Culturally Competent Care workforce development cultural humility workplace readiness ||
Stephanie Benjamin| Health & Human Development| Department of Health Sciences||||||
Kacie Blackman| Health & Human Development| Department of Health Sciences||||Exercise Science Health Literacy ||
Lawrence Chu| Health & Human Development| Department of Health Sciences||||Violence Prevention Disaster Preparedness ||
Stephan (Kyusuk) Chung| Health & Human Development| Department of Health Sciences||||||
Stephanie Alvarado| Health & Human Development| Department of Health Sciences||||||
Stephanie Nunes| Health & Human Development| Department of Health Sciences||||||
Elio Spinello| Health & Human Development| Department of Health Sciences||||Public Health Public Health Education Spatial Statistics Health Education Statistical Data Analysis Health Behavior Techology and Cognition ||
Steven Stumpf| Health & Human Development| Department of Health Sciences||||Health Promotion Evidence Based Medicine Health Care Management Medical & Health Profession Education Public Health Education Medical Education Preventive Medicine ||
Steven Vetrone| Health & Human Development| Department of Health Sciences||||||
Lauren Walter| Health & Human Development| Department of Health Sciences||||Health Promotion Public Health Public Health Education Health Education Health Disparities Health Inequality Healthcare Quality Health Management Program Evaluation ||
Jonathan Watts| Health & Human Development| Department of Health Sciences||||||
Ronald Fischbach| Health & Human Development| Department of Health Sciences||||||
Sean P. Flanagan| Health & Human Development| Department of Kinesiology||||Rehabilitation Exercise Science Sports Science Biomechanics Sports Injuries Musculoskeletal Disorders Exercise Physiology Exercise Performance Sport Biomechanics Strength & Conditioning ||
Ovande Furtado Jr.| Health & Human Development| Department of Kinesiology||||||
Kim Henige| Health & Human Development| Department of Kinesiology||||Teaching Learning Exercise Science Exercise Physiology Strength & Conditioning Physiology Physical Fitness Exercise Science Education ||
Jake Hinkel-Lipsker| Health & Human Development| Department of Kinesiology||||Rehabilitation Exercise Science Sports Science Biomechanics Physical Rehabilitation Sport Biomechanics Neurorehabilitation Posture Gait Analysis Movement Analysis Kinesiology ||
Victoria Jaque| Health & Human Development| Department of Kinesiology||||Exercise Science Exercise Physiology Exercise Testing Physical Fitness Resistance Training Exercise Intervention Body Composition Physical Activity Assessment Bone Muscle ||
Taeyou Jung| Health & Human Development| Department of Kinesiology||||||
Paulo Marchetti| Health & Human Development| Department of Kinesiology||||Exercise Science Sports Science Biomechanics Sports Injuries Exercise Physiology Exercise Performance Sport Biomechanics Strength & Conditioning Muscle Function Exercise Testing ||
Justin Nicoll| Health & Human Development| Department of Kinesiology||||Exercise Science Sports Science Exercise Physiology Human Physiology Exercise Performance Strength & Conditioning Sport Physiology Exercise Testing Western Blot Muscle Physiology ||
Shane D. Stecyk| Health & Human Development| Department of Kinesiology||||||
Terry Sweeting| Health & Human Development| Department of Kinesiology||||Teaching and Learning Pedagogy and Education Teaching Learning Professional Development Curriculum Development Teacher Training Pedagogy Teaching Experience Assessment ||
William C. Whiting| Health & Human Development| Department of Kinesiology||||Biomechanics Exercise Physiology Physical Activity Surface Electromyography Muscle Activity Electromyogram ||
Teri Berkel| Health & Human Development| Department of Kinesiology||||||
Claire Coudray| Health & Human Development| Department of Kinesiology||||||
Ileana Hurtado| Health & Human Development| Department of Kinesiology||||||
Mai Jara| Health & Human Development| Department of Kinesiology||||||
Lino Perez| Health & Human Development| Department of Kinesiology||||||
Jennifer L. Romack| Health & Human Development| Department of Kinesiology||||Motor Development Perception and Action Feedback Service-Learning ||
Nanci Carr| College of Business and Economics| Department of Business Law||||Law and Legal Studies Legal Analysis Legal Theory Legal Cases Corporate Governance Intellectual Property Law Legal Research Contract Law Intellectual Property Management ||
Leonard Rymsza| College of Business and Economics| Department of Business Law||||Case Studies Business Law ||
Douglas Carranza  .| College of Humanities| Department of Central American Studies||||||
Stephanie Lemus| College of Humanities| Department of Central American Studies||||||
Lizbeth Ruiz-Torres| College of Humanities| Department of Central American Studies||||||
Kurt Saunders| College of Business and Economics| Department of Business Law||||Intellectual Property Business Law Copyright Law Patent Law Trademark Law Cyberlaw Trade Secrets Law ||
